variant,lattice,run_id,phase,kind,status,elapsed_s,message,Cell Size,Strut Thickness,Shell Thickness,resp_lattice_volume,resp_envelope_volume,resp_mass,resp_surface_area,resp_max_stress,resp_max_displacement,resp_min_thickness,out_Solve Time,porosity,mass_g,stiffness_N_mm,E_app_GPa,max_stress_MPa,max_stress_peak_MPa,sf_yield,sf_fatigue,pore_um,pore_estimated,strut_mm,surface_area_mm2,specific_surface_1_mm,lattice_volume_mm3,max_displacement_mm,cell_mm,relative_density,pred_E_app_GPa,pred_porosity,pred_pore_um,pred_sf_yield,pred_sf_fatigue,pred_mass_g,pred_max_stress_MPa,pred_D,d_modulus,d_porosity,d_pore_size,d_sf_fatigue,d_sf_yield,d_strut,d_mass,d_surface_area,D,feasible,modulus_dev,resp_pore_size
fusion_cage_diamond,diamond,screen_ff8427a1,screen,,cached,0.0,reused existing output,1.5,0.3,0.5,1605.7551,6000.0,7.113,17669.774,75.3773,0.0068525,0.3,109.8,0.7323741500000001,7.113,175118.56986501277,4.202845676760306,75.3773,125.62883333333333,7.561958308403193,4.6433077332300305,675.0,1.0,0.3,17669.774,11.004027949218408,1605.7551,0.0068525,1.5,0.26762584999999994,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.8516044704528012,0.5551565488902495,0.0,False,1.2028456767603064,
fusion_cage_diamond,diamond,screen_67b2dd89,screen,,cached,0.0,reused existing output,1.5,0.3,1.5,2422.7586,6000.0,10.732999999999999,15088.213,33.3134,0.0030285,0.3,109.9,0.5962069,10.732999999999999,396235.76027736504,9.509658246656759,33.3134,55.522333333333336,17.110231918687376,10.506282757088739,675.0,1.0,0.3,15088.213,6.227699697361511,2422.7586,0.0030285,1.5,0.4037931,,,,,,,,,0.6993561168895494,0.9810345,1.0,1.0,1.0,0.0,0.7213761511895626,0.49804040463337457,0.0,False,6.509658246656759,
fusion_cage_diamond,diamond,screen_c3241ff0,screen,,failed,0.0,cached: ntopcl exit code 2; see ntopcl.log,1.5,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
fusion_cage_diamond,diamond,screen_bf965670,screen,,failed,0.0,cached: ntopcl exit code 2; see ntopcl.log,1.5,0.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
fusion_cage_diamond,diamond,screen_1ec857f9,screen,,cached,0.0,reused existing output,4.0,0.3,0.5,674.5443,6000.0,2.988,4309.448,111.0853,0.0100987,0.3,42.0,0.88757595,2.988,118827.17577509976,2.8518522186023945,111.0853,185.14216666666667,5.131191975896001,3.1507319150238597,2300.0000000000005,1.0,0.3,4309.448,6.388680476582487,674.5443,0.0100987,4.0,0.11242405,,,,,,,,,1.0,0.08282700000000012,0.0,1.0,1.0,0.0,1.0,0.25956395699144236,0.0,False,0.14814778139760554,
fusion_cage_diamond,diamond,screen_1caa006a,screen,,cached,0.0,reused existing output,4.0,0.3,1.5,1662.9146,6000.0,7.367,3877.172,37.4835,0.0034076,0.3,41.9,0.7228475666666667,7.367,352154.0086864655,8.451696208475171,37.4835,62.4725,15.206690944015367,9.337441807728734,2300.0000000000005,1.0,0.3,3877.172,2.3315520833120353,1662.9146,0.0034076,4.0,0.2771524333333333,,,,,,,,,0.7698869194349885,1.0,0.0,1.0,1.0,0.0,0.8424669033000767,0.25,0.0,False,5.4516962084751714,
fusion_cage_diamond,diamond,screen_1dd3a361,screen,,cached,0.0,reused existing output,4.0,0.9,0.5,1849.6618,6000.0,8.193999999999999,8711.547,66.606,0.0060551,0.9,127.6,0.6917230333333333,8.193999999999999,198180.04657231094,4.756321117735462,66.606,111.01,8.5577875867039,5.254781851484852,1700.0000000000002,1.0,0.9,8711.547,4.709805327655034,1849.6618,0.0060551,4.0,0.3082769666666667,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,0.8127158480429777,0.3569588748403891,0.0,False,1.756321117735462,
fusion_cage_diamond,diamond,screen_bf65566c,screen,,cached,0.0,reused existing output,4.0,0.9,1.5,2620.4825,6000.0,11.609,7592.053,31.6241,0.0028749,0.9,127.6,0.5632529166666667,11.609,417405.8228112282,10.017739747469477,31.6241,52.70683333333333,18.024228357486855,11.067508640562103,1700.0000000000002,1.0,0.9,7592.053,2.8971966040605115,2620.4825,0.0028749,4.0,0.43674708333333334,,,,,,,,,0.6654840168353682,0.8162645833333334,0.0,1.0,1.0,1.0,0.6898623369148119,0.33219045728267654,0.0,False,7.017739747469477,
fusion_cage_diamond,diamond,screen_ad275d17,screen,,cached,0.0,reused existing output,2.75,0.6,1.0,2174.6796,6000.0,9.634,10806.377,43.9068,0.0039915,0.6,122.7,0.6375534,9.634,300638.8575723412,7.215332581736189,43.9068,73.178,12.982043783650825,7.971430393469805,1187.5,1.0,0.6,10806.377,4.969181207199442,2174.6796,0.0039915,2.75,0.36244659999999995,,,,,,,,,0.8523111612175874,1.0,0.0,1.0,1.0,1.0,0.7609123177283192,0.403306264064827,0.0,False,4.215332581736189,
fusion_cage_diamond,diamond,rsm_973dea26,rsm,,cached,0.0,reused existing output,1.5,0.6,1.0,3982.3478,6000.0,17.642000000000003,30608.607,29.6732,0.0019616,0.6,267.9,0.3362753666666667,17.642000000000003,611745.5138662317,14.681892332789559,29.6732,49.455333333333336,19.209252793766765,11.79515522424275,375.0000000000001,1.0,0.6,30608.607,7.686070764587663,3982.3478,0.0019616,1.5,0.6637246333333333,,,,,,,,,0.35454051114736274,0.0,0.37500000000000056,1.0,1.0,1.0,0.4728271297006906,0.8414237539431665,0.0,False,11.681892332789559,
