response,n,log,chosen,order,rsm_r2,rsm_adj_r2,rsm_loo_rmse,rbf_loo_rmse,loo_rmse_rel,variant
lattice_volume,13,False,rbf,quadratic,0.9919829908286055,0.9679319633144221,515.4489003592574,511.60711614687744,0.6083192059603193,fusion_cage_diamond
mass,13,False,rbf,quadratic,0.9919766179326525,0.9679064717306098,2.2836034029664587,2.266475178464412,0.6083296802875225,fusion_cage_diamond
surface_area,13,False,rbf,quadratic,0.9799032941834954,0.9196131767339817,5226.770391752791,4802.434078861945,0.6954203574572392,fusion_cage_diamond
max_stress,13,True,rsm,quadratic,0.9979479289204134,0.9917917156816536,0.12909197050909482,0.14326114432649534,0.3231095483254628,fusion_cage_diamond
max_displacement,13,True,rbf,quadratic,0.9914321749726065,0.965728699890426,0.3395412827195828,0.24833181038858496,0.5554991824434025,fusion_cage_diamond
min_thickness,13,False,rbf,quadratic,1.0,1.0,2.4291357418899834e-09,1.411068838002555e-16,6.114631631344405e-16,fusion_cage_diamond
lattice_volume,15,False,rsm,quadratic,0.9956161854904729,0.9877253193733242,250.73420564669203,312.10693994093907,0.3008680183596019,fusion_cage_gyroid
mass,15,False,rsm,quadratic,0.9956111730287862,0.9877112844806014,1.1113839841608812,1.3826869458940467,0.3010422431082977,fusion_cage_gyroid
surface_area,15,False,rbf,quadratic,0.9969165200024299,0.9913662560068037,1489.6002170668798,1267.480338782,0.2666621772946698,fusion_cage_gyroid
max_stress,15,True,rsm,quadratic,0.9997615081363861,0.999332222781881,0.021467781718844958,0.11434659900583563,0.06090024958377005,fusion_cage_gyroid
max_displacement,15,True,rsm,quadratic,0.998696453445721,0.9963500696480188,0.04302427704821579,0.1165573406754403,0.1274645255643749,fusion_cage_gyroid
pore_size,15,False,rbf,quadratic,0.9999999998219381,0.9999999995014267,2.536438913823404e-05,1.5437662572925343e-05,3.2152646968586424e-05,fusion_cage_gyroid
min_thickness,15,False,rbf,quadratic,1.0,1.0,2.0392482068948252e-09,1.1009322920451104e-16,4.919154001165584e-16,fusion_cage_gyroid
lattice_volume,16,False,rbf,quadratic,0.9843543592584404,0.960885898146101,584.1467919236093,516.1026608467023,0.5828201277607558,fusion_cage_kelvin
mass,16,False,rbf,quadratic,0.9843542516450784,0.9608856291126959,2.5878671526617056,2.286256680825284,0.5828017283571251,fusion_cage_kelvin
surface_area,16,False,rbf,quadratic,0.9804686351935782,0.9511715879839455,5681.784769517579,5130.009730609002,0.6403767728138403,fusion_cage_kelvin
max_stress,16,True,rbf,quadratic,0.9956860164213006,0.9892150410532515,0.17252952098043306,0.1402814505988983,0.41201798767767184,fusion_cage_kelvin
max_displacement,16,True,rbf,quadratic,0.9850992103818449,0.9627480259546122,0.35010636512320115,0.27320448973853484,0.5751040369351441,fusion_cage_kelvin
min_thickness,16,False,rbf,quadratic,1.0,1.0,2.0784226243901697e-09,9.309503074677274e-17,4.360560055888296e-16,fusion_cage_kelvin
lattice_volume,17,False,rbf,quadratic,0.9835376031566543,0.962371664358067,530.5132871008478,523.252663033096,0.5878833837076097,fusion_cage_octet
mass,17,False,rbf,quadratic,0.9835399629304761,0.9623770581268024,2.349577781729553,2.317850687660666,0.587844931375708,fusion_cage_octet
surface_area,17,False,rsm,quadratic,0.9795691465015554,0.9533009062892693,5005.102577921869,5113.340753563374,0.6633400510161639,fusion_cage_octet
max_stress,17,True,rbf,quadratic,0.9966952186262948,0.9924462140029596,0.15925172052590872,0.13318615956832935,0.32988159088236946,fusion_cage_octet
max_displacement,17,True,rsm,quadratic,0.995458659746548,0.9896197937063954,0.11527225103419614,0.1429134056548793,0.310788376865217,fusion_cage_octet
min_thickness,17,False,rbf,quadratic,1.0,1.0,1.928855569200795e-09,1.2485472978571435e-16,5.982860556436764e-16,fusion_cage_octet
